strain	accession	segment	date	host	country	subtype	virus
SM5076	JQ685932	NA	2001-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
SM5077	JQ685911	NA	2001-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
SM5079	JQ685893	NA	2001-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
SM5080	JQ685927	NA	2001-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
SM5081	JQ685904	NA	2001-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
SM5100	JQ685940	NA	2001-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
SM5101	JQ685958	NA	2001-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
SM5102	JQ685906	NA	2001-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
SM5103	JQ685930	NA	2001-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
SM5440	JQ685969	NA	2001-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
SM5441	JQ685962	NA	2001-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
SM5442	JQ685897	NA	2001-XX-XX	Bat	USA	NA	Rabies_lyssavirus
SM5451	JQ685959	NA	2001-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
SM5470	JQ685966	NA	2001-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
SM5596	JQ685964	NA	2004-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
SM5950	JQ685933	NA	2004-XX-XX	Fox	USA	NA	Rabies_lyssavirus
SM6709	JQ685945	NA	2005-XX-XX	Cat	USA	NA	Rabies_lyssavirus
SRV9	AF499686	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
SXBJ15	KR230089	NA	2015-01-23	Cattle	China	NA	Rabies_lyssavirus
SXYL15	KR230090	NA	2015-01-23	Cattle	China	NA	Rabies_lyssavirus
Shaanxi_HZ_6	KC977995	NA	2009-XX-XX	Dog	China	NA	Rabies_lyssavirus
TN186	JQ685922	NA	2005-XX-XX	Bat	USA	NA	Rabies_lyssavirus
TN209	JQ685902	NA	2005-XX-XX	Bat	USA	NA	Rabies_lyssavirus
TN310	JQ685947	NA	2004-XX-XX	Bat	USA	NA	Rabies_lyssavirus
TX4904	JQ685915	NA	2002-XX-XX	Bat	USA	NA	Rabies_lyssavirus
TX5960	JQ685910	NA	2002-XX-XX	Bat	USA	NA	Rabies_lyssavirus
Tajik_FTA	KY765901	NA	2012-07-09	Dog	Tajikistan	NA	Rabies_lyssavirus
UGbv13	LC029889	NA	2009-XX-XX	Cattle	Uganda	NA	Rabies_lyssavirus
UNKNOWN_AY956319	AY956319	NA	XXXX-XX-XX	Unknown	Germany	1	Rabies_lyssavirus
UNKNOWN_CS614408	CS614408	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
UNKNOWN_DD161903	DD161903	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
UNKNOWN_DD161904	DD161904	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
UNKNOWN_DD161905	DD161905	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
UNKNOWN_DD161906	DD161906	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
UNKNOWN_DI035301	DI035301	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
UNKNOWN_DI043469	DI043469	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
UNKNOWN_DI046747	DI046747	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
UNKNOWN_DI084725	DI084725	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
UNKNOWN_FV537078	FV537078	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
UNKNOWN_FV537079	FV537079	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
UNKNOWN_FV537080	FV537080	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
UNKNOWN_FV537081	FV537081	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
UNKNOWN_M13215	M13215	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
UNKNOWN_M31046	M31046	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
UNKNOWN_NC_001542	NC_001542	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
VA.2003.5213	MG562522	NA	2003-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2005.0142	MG562555	NA	2005-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2005.0167	MG562556	NA	2005-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2005.0212	MG562557	NA	2005-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2005.0214	MG562558	NA	2005-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
VT.2005.0215	MF143373	NA	2005-12-29	Raccoon	USA	NA	Rabies_lyssavirus
VT.2005.0270	MG562559	NA	2005-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2005.0274	MG562560	NA	2005-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2005.0275	MG562561	NA	2005-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2005.0277	MG562562	NA	2005-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2005.0296	MG562563	NA	2005-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2006.0104	MF143374	NA	2006-08-29	Raccoon	USA	NA	Rabies_lyssavirus
VT.2006.0108	MF143375	NA	2006-08-30	Raccoon	USA	NA	Rabies_lyssavirus
VT.2006.0116	MF143278	NA	2006-09-05	Cattle	USA	NA	Rabies_lyssavirus
VT.2006.0117	MF143376	NA	2006-09-05	Skunk	USA	NA	Rabies_lyssavirus
VT.2006.0147	MG562564	NA	2006-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2006.0153	MF143377	NA	2006-10-04	Skunk	USA	NA	Rabies_lyssavirus
VT.2006.0161	MG562565	NA	2006-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2006.0166	MF143279	NA	2006-10-11	Raccoon	USA	NA	Rabies_lyssavirus
VT.2006.0173	MG562566	NA	2006-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2006.0178	MF143280	NA	2006-10-30	Skunk	USA	NA	Rabies_lyssavirus
VT.2006.0218	MG562567	NA	2006-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
VT.2006.0245	MG562568	NA	2006-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2006.0263	MG562569	NA	2006-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2006.0287	MG562570	NA	2006-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2006.0288	MG562571	NA	2006-XX-XX	Cattle	USA	NA	Rabies_lyssavirus
VT.2006.0289	MG562572	NA	2006-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2006.0325	MG562573	NA	2006-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2006.0332	MF143281	NA	2006-05-23	Skunk	USA	NA	Rabies_lyssavirus
VT.2006.0366	MG562574	NA	2006-XX-XX	Rodent	USA	NA	Rabies_lyssavirus
VT.2007.0084	MF143378	NA	2007-07-20	Skunk	USA	NA	Rabies_lyssavirus
VT.2007.0092	MF143282	NA	2007-07-25	Raccoon	USA	NA	Rabies_lyssavirus
VT.2007.0294	MG562575	NA	2007-XX-XX	Horse	USA	NA	Rabies_lyssavirus
VT.2007.0297	MF143283	NA	2007-01-04	Raccoon	USA	NA	Rabies_lyssavirus
VT.2007.0308	MF143284	NA	2007-01-31	Raccoon	USA	NA	Rabies_lyssavirus
VT.2007.0320	MF143285	NA	2007-09-11	Skunk	USA	NA	Rabies_lyssavirus
VT.2007.0342	MF143379	NA	2007-03-02	Raccoon	USA	NA	Rabies_lyssavirus
VT.2007.0357	MG562576	NA	2007-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
VT.2007.0380	MF143380	NA	2007-09-18	Raccoon	USA	NA	Rabies_lyssavirus
VT.2007.0392	MF143381	NA	2007-03-22	Raccoon	USA	NA	Rabies_lyssavirus
VT.2007.0398	MF143382	NA	2007-09-26	Skunk	USA	NA	Rabies_lyssavirus
VT.2007.0412	MF143286	NA	2007-03-30	Raccoon	USA	NA	Rabies_lyssavirus
VT.2007.0417	MG562577	NA	2007-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
VT.2007.0465	MF143383	NA	2007-10-15	Skunk	USA	NA	Rabies_lyssavirus
VT.2007.0473	MG562578	NA	2007-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2007.0479	MF143384	NA	2007-10-30	Skunk	USA	NA	Rabies_lyssavirus
VT.2007.0489	MF143385	NA	2007-11-05	Raccoon	USA	NA	Rabies_lyssavirus
VT.2007.0491	MF143337	NA	2007-11-05	Skunk	USA	NA	Rabies_lyssavirus
VT.2007.0492	MF143287	NA	2007-04-25	Raccoon	USA	NA	Rabies_lyssavirus
VT.2007.0496	MF143386	NA	2007-04-25	Raccoon	USA	NA	Rabies_lyssavirus
VT.2007.0505	MF143387	NA	2007-04-30	Skunk	USA	NA	Rabies_lyssavirus
VT.2007.0506	MF143388	NA	2007-11-14	Skunk	USA	NA	Rabies_lyssavirus
VT.2007.0512	MF143389	NA	2007-11-20	Skunk	USA	NA	Rabies_lyssavirus
VT.2007.0520	MG562579	NA	2007-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
VT.2007.0523	MF143390	NA	2007-12-10	Skunk	USA	NA	Rabies_lyssavirus
VT.2008.0041	MG562580	NA	2008-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2008.0111	MG562581	NA	2008-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2008.0170	MG562582	NA	2008-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
VT.2008.0180	MG562583	NA	2008-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2008.0205	MG562584	NA	2008-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
VT.2008.0233	MG562585	NA	2008-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
VT.2008.0270	MF143288	NA	2008-11-06	Skunk	USA	NA	Rabies_lyssavirus
VT.2008.0275	MG562586	NA	2008-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
VT.2008.0277	MG562587	NA	2008-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
VT.2008.0283	MG562588	NA	2008-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
VT.2008.0296	MG562589	NA	2008-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2008.0310	MF143391	NA	2008-12-29	Cattle	USA	NA	Rabies_lyssavirus
VT.2008.0536	MG562590	NA	2008-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2008.0704	MG562591	NA	2008-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2008.0764	MG562592	NA	2008-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2009.0023	MG562593	NA	2009-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
VT.2009.0036	MF143392	NA	2009-07-20	Skunk	USA	NA	Rabies_lyssavirus
VT.2009.0092	MF143393	NA	2009-08-14	Raccoon	USA	NA	Rabies_lyssavirus
VT.2009.0093	MF143394	NA	2009-08-20	Skunk	USA	NA	Rabies_lyssavirus
VT.2009.0124	MF143395	NA	2009-10-04	Skunk	USA	NA	Rabies_lyssavirus
VT.2009.0134	MF143396	NA	2009-10-12	Skunk	USA	NA	Rabies_lyssavirus
VT.2009.0136	MF143397	NA	2009-10-19	Raccoon	USA	NA	Rabies_lyssavirus
VT.2009.0137	MG562594	NA	2009-XX-XX	Horse	USA	NA	Rabies_lyssavirus
VT.2009.0146	MF143398	NA	2009-10-19	Raccoon	USA	NA	Rabies_lyssavirus
VT.2009.0164	MF143399	NA	2009-11-05	Raccoon	USA	NA	Rabies_lyssavirus
VT.2009.0169	MF143400	NA	2009-11-01	Skunk	USA	NA	Rabies_lyssavirus
VT.2009.0191	MG562595	NA	2009-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2009.0194	MF143401	NA	2009-11-30	Raccoon	USA	NA	Rabies_lyssavirus
VT.2009.0322	MG562596	NA	2009-XX-XX	Fox	USA	NA	Rabies_lyssavirus
VT.2009.0335	MG562597	NA	2009-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2009.0346	MG562598	NA	2009-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2009.0352	MF143402	NA	2009-02-26	Raccoon	USA	NA	Rabies_lyssavirus
VT.2009.0353	MG562599	NA	2009-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2009.0361	MG562600	NA	2009-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2009.0370	MF143289	NA	2009-03-17	Raccoon	USA	NA	Rabies_lyssavirus
VT.2009.0371	MF143403	NA	2009-03-11	Cattle	USA	NA	Rabies_lyssavirus
VT.2009.0377	MG562601	NA	2009-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2009.0384	MG562602	NA	2009-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2009.0393	MG562603	NA	2009-XX-XX	Cattle	USA	NA	Rabies_lyssavirus
VT.2009.0397	MF143338	NA	2009-04-05	Cattle	USA	NA	Rabies_lyssavirus
VT.2009.0406	MG562604	NA	2009-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2009.0423	MF143404	NA	2009-04-17	Raccoon	USA	NA	Rabies_lyssavirus
VT.2009.0428	MF143405	NA	2009-04-17	Raccoon	USA	NA	Rabies_lyssavirus
VT.2009.0443	MF143406	NA	2009-05-12	Cattle	USA	NA	Rabies_lyssavirus
VT.2009.0475	MG562605	NA	2009-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
VT.2009.0500	MG562606	NA	2009-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
VT.2010.0003	MG562607	NA	2010-XX-XX	Fox	USA	NA	Rabies_lyssavirus
VT.2010.0044	MF143407	NA	2010-07-29	Skunk	USA	NA	Rabies_lyssavirus
VT.2010.0054	MF143408	NA	2010-08-09	Raccoon	USA	NA	Rabies_lyssavirus
VT.2010.0070	MG562608	NA	2010-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
VT.2010.0089	MF143409	NA	2010-08-20	Raccoon	USA	NA	Rabies_lyssavirus
VT.2010.0090	MF143410	NA	2010-08-23	Skunk	USA	NA	Rabies_lyssavirus
VT.2010.0093	MF143411	NA	2010-08-29	Skunk	USA	NA	Rabies_lyssavirus
VT.2010.0145	MF143412	NA	2010-10-14	Skunk	USA	NA	Rabies_lyssavirus
VT.2010.0172	MF143339	NA	2010-11-18	Skunk	USA	NA	Rabies_lyssavirus
VT.2010.0246	MG562609	NA	2010-XX-XX	Fox	USA	NA	Rabies_lyssavirus
VT.2010.0370	MF143413	NA	2010-06-18	Skunk	USA	NA	Rabies_lyssavirus
VT.2011.0079	MF143414	NA	2011-08-27	Skunk	USA	NA	Rabies_lyssavirus
VT.2011.0138	MF143340	NA	2011-11-04	Skunk	USA	NA	Rabies_lyssavirus
VT.2011.0145	MG562610	NA	2011-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
VT.2011.0198	MF143415	NA	2011-01-08	Raccoon	USA	NA	Rabies_lyssavirus
WA0173	JQ685931	NA	2000-XX-XX	Bat	USA	NA	Rabies_lyssavirus
WA1185	JQ685895	NA	2003-XX-XX	Bat	USA	NA	Rabies_lyssavirus
WAEF03	JQ685925	NA	2004-XX-XX	Bat	USA	NA	Rabies_lyssavirus
WH11	JQ647510	NA	2011-09-17	Donkey	China	1	Rabies_lyssavirus
WQ14_RF	KM016899	NA	2014-XX-XX	Fox	China	NA	Rabies_lyssavirus
aG	GQ412744	NA	1931-XX-XX	Dog	China	1	Rabies_lyssavirus
rHEP5.0_CVSG	AB839170	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
rHEP5.0_delG	AB839169	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
raccoon	KY026483	NA	2011-10-23	Skunk	Canada	NA	Rabies_lyssavirus
rv2483	KY210220	NA	2008-09-28	Goat	Tanzania	NA	Rabies_lyssavirus
rv2485	KY210221	NA	2008-09-28	Goat	Tanzania	NA	Rabies_lyssavirus
rv2489	KY210222	NA	2009-01-17	Dog	Tanzania	NA	Rabies_lyssavirus
rv2786	KY210224	NA	2010-06-20	Dog	Tanzania	NA	Rabies_lyssavirus
rv2858	KY210225	NA	2011-02-21	Goat	Tanzania	NA	Rabies_lyssavirus
rv2859	KY210226	NA	2011-03-01	Dog	Tanzania	NA	Rabies_lyssavirus
rv2863	KY210227	NA	2011-04-19	Dog	Tanzania	NA	Rabies_lyssavirus
rv2866	KY210228	NA	2011-04-15	Goat	Tanzania	NA	Rabies_lyssavirus
rv2867	KY210229	NA	2011-05-22	Dog	Tanzania	NA	Rabies_lyssavirus
rv2868	KY210230	NA	2011-06-06	Cattle	Tanzania	NA	Rabies_lyssavirus
rv2870	KY210231	NA	2011-06-01	Dog	Tanzania	NA	Rabies_lyssavirus
rv2873	KY210232	NA	2011-06-20	Dog	Tanzania	NA	Rabies_lyssavirus
rv2877	KY210233	NA	2011-06-30	Goat	Tanzania	NA	Rabies_lyssavirus
rv2878	KY210234	NA	2011-07-03	Dog	Tanzania	NA	Rabies_lyssavirus
rv2879	KY210235	NA	2011-06-10	Dog	Tanzania	NA	Rabies_lyssavirus
rv2880	KY210236	NA	2011-07-02	Cattle	Tanzania	NA	Rabies_lyssavirus
rv2881	KY210237	NA	2011-07-07	Cattle	Tanzania	NA	Rabies_lyssavirus
rv2882	KY210238	NA	2011-07-23	Dog	Tanzania	NA	Rabies_lyssavirus
rv2883	KY210239	NA	2011-07-23	Dog	Tanzania	NA	Rabies_lyssavirus
rv2884	KY210240	NA	2011-07-21	Cattle	Tanzania	NA	Rabies_lyssavirus
rv2885	KY210241	NA	2011-07-24	Goat	Tanzania	NA	Rabies_lyssavirus
rv2886	KY210242	NA	2011-07-21	Goat	Tanzania	NA	Rabies_lyssavirus
rv2887	KY210243	NA	2011-07-25	Dog	Tanzania	NA	Rabies_lyssavirus
rv2888	KY210244	NA	2011-07-29	Dog	Tanzania	NA	Rabies_lyssavirus
rv3047	KY210245	NA	2012-08-10	Dog	Tanzania	NA	Rabies_lyssavirus
rv3048	KY210246	NA	2012-09-17	Sheep	Tanzania	NA	Rabies_lyssavirus
rv3049	KY210247	NA	2012-10-04	Dog	Tanzania	NA	Rabies_lyssavirus
rv3050	KY210248	NA	2012-09-02	Dog	Tanzania	NA	Rabies_lyssavirus
rv3051	KY210249	NA	2012-10-12	Dog	Tanzania	NA	Rabies_lyssavirus
rv3052	KY210250	NA	2012-11-13	Dog	Tanzania	NA	Rabies_lyssavirus
rv3053	KY210251	NA	2012-11-10	Dog	Tanzania	NA	Rabies_lyssavirus
rv3057	KY210252	NA	2012-12-08	Dog	Tanzania	NA	Rabies_lyssavirus
rv3058	KY210253	NA	2013-01-18	Dog	Tanzania	NA	Rabies_lyssavirus
rv3059	KY210254	NA	2013-01-11	Dog	Tanzania	NA	Rabies_lyssavirus
rv3060	KY210255	NA	2013-01-04	Dog	Tanzania	NA	Rabies_lyssavirus
rv3061	KY210256	NA	2013-01-08	Dog	Tanzania	NA	Rabies_lyssavirus
rv3063	KY210257	NA	2013-01-08	Dog	Tanzania	NA	Rabies_lyssavirus
rv3064	KY210258	NA	2013-01-02	Dog	Tanzania	NA	Rabies_lyssavirus
rv3066	KY210259	NA	2013-02-23	Cat	Tanzania	NA	Rabies_lyssavirus
rv3067	KY210260	NA	2013-02-25	Dog	Tanzania	NA	Rabies_lyssavirus
rv3068	KY210261	NA	2013-04-11	Goat	Tanzania	NA	Rabies_lyssavirus
rv3070	KY210262	NA	2013-02-27	Goat	Tanzania	NA	Rabies_lyssavirus
rv3071	KY210263	NA	2013-04-13	Dog	Tanzania	NA	Rabies_lyssavirus
rv3072	KY210264	NA	2013-04-10	Dog	Tanzania	NA	Rabies_lyssavirus
rv3073	KY210265	NA	2013-02-18	Dog	Tanzania	NA	Rabies_lyssavirus
rv3074	KY210266	NA	2013-02-01	Dog	Tanzania	NA	Rabies_lyssavirus
rv3075	KY210267	NA	2013-01-31	Dog	Tanzania	NA	Rabies_lyssavirus
rv3078	KY210268	NA	2013-05-26	Cattle	Tanzania	NA	Rabies_lyssavirus
rv3079	KY210269	NA	2013-07-18	Dog	Tanzania	NA	Rabies_lyssavirus
rv3080	KY210270	NA	2013-07-17	Dog	Tanzania	NA	Rabies_lyssavirus
rv3082	KY210271	NA	2013-09-03	Dog	Tanzania	NA	Rabies_lyssavirus
rv3084	KY210272	NA	2013-08-22	Dog	Tanzania	NA	Rabies_lyssavirus
rv3085	KY210273	NA	2013-09-06	Dog	Tanzania	NA	Rabies_lyssavirus
rv3086	KY210274	NA	2013-09-06	Cattle	Tanzania	NA	Rabies_lyssavirus
rv3087	KY210275	NA	2013-09-06	Cattle	Tanzania	NA	Rabies_lyssavirus
rv3088	KY210276	NA	2013-04-25	Cattle	Tanzania	NA	Rabies_lyssavirus
rv3090	KY210277	NA	2011-11-25	Cattle	Tanzania	NA	Rabies_lyssavirus
rv3092	KY210278	NA	2011-12-16	Dog	Tanzania	NA	Rabies_lyssavirus
rv3094	KY210279	NA	2011-12-21	Dog	Tanzania	NA	Rabies_lyssavirus
rv3096	KY210280	NA	2012-01-30	Dog	Tanzania	NA	Rabies_lyssavirus
rv3097	KY210281	NA	2012-01-19	Dog	Tanzania	NA	Rabies_lyssavirus
rv3098	KY210282	NA	2012-01-26	Dog	Tanzania	NA	Rabies_lyssavirus
rv3099	KY210283	NA	2012-01-19	Cattle	Tanzania	NA	Rabies_lyssavirus
rv3101	KY210284	NA	2012-03-06	Jackal	Tanzania	NA	Rabies_lyssavirus
rv3102	KY210285	NA	2012-03-08	Goat	Tanzania	NA	Rabies_lyssavirus
rv3103	KY210286	NA	2011-12-10	Dog	Tanzania	NA	Rabies_lyssavirus
rv3105	KY210287	NA	2012-03-22	Dog	Tanzania	NA	Rabies_lyssavirus
rv3109	KY210288	NA	2012-04-12	Dog	Tanzania	NA	Rabies_lyssavirus
rv3110	KY210289	NA	2012-04-30	Dog	Tanzania	NA	Rabies_lyssavirus
rv3113	KY210290	NA	2012-05-06	Dog	Tanzania	NA	Rabies_lyssavirus
rv3114	KY210291	NA	2012-05-06	Jackal	Tanzania	NA	Rabies_lyssavirus
rv3115	KY210292	NA	2012-05-11	Dog	Tanzania	NA	Rabies_lyssavirus
rv3119	KY210293	NA	2012-05-17	Dog	Tanzania	NA	Rabies_lyssavirus
rv3121	KY210294	NA	2012-05-28	Dog	Tanzania	NA	Rabies_lyssavirus
rv3122	KY210295	NA	2012-05-14	Dog	Tanzania	NA	Rabies_lyssavirus
rv3124	KY210296	NA	2012-05-07	Dog	Tanzania	NA	Rabies_lyssavirus
rv3129	KY210297	NA	2012-06-25	Sheep	Tanzania	NA	Rabies_lyssavirus
rv3130	KY210298	NA	2012-06-28	Goat	Tanzania	NA	Rabies_lyssavirus
rv3134	KY210299	NA	2012-07-19	Dog	Tanzania	NA	Rabies_lyssavirus
rv3135	KY210300	NA	2012-07-19	Dog	Tanzania	NA	Rabies_lyssavirus
rv3136	KY210301	NA	2012-07-16	Cattle	Tanzania	NA	Rabies_lyssavirus
rv3137	KY210302	NA	2012-07-21	Goat	Tanzania	NA	Rabies_lyssavirus
rv3138	KY210303	NA	2012-07-16	Dog	Tanzania	NA	Rabies_lyssavirus
rv3139	KY210304	NA	2012-07-07	Dog	Tanzania	NA	Rabies_lyssavirus
rv3145	KY210305	NA	2012-08-08	Hyena	Tanzania	NA	Rabies_lyssavirus
rv3146	KY210306	NA	2012-05-26	Civet	Tanzania	NA	Rabies_lyssavirus
rv3150	KY210307	NA	2012-03-24	Dog	Tanzania	NA	Rabies_lyssavirus
rv3151	KY210308	NA	2012-01-07	Cattle	Tanzania	NA	Rabies_lyssavirus
rv3152	KY210309	NA	2012-05-31	Unknown	Tanzania	NA	Rabies_lyssavirus
rv3153	KY210310	NA	2012-01-23	Goat	Tanzania	NA	Rabies_lyssavirus
rv3154	KY210311	NA	2012-04-29	Dog	Tanzania	NA	Rabies_lyssavirus
sadB19Behr_1_var01	LN713542	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadB19Behr_2_var01	LN713543	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadB19Behr_3_var01	LN713544	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadB19Behr_4_var01	LN713545	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadB19Behr_5_var01	LN713546	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadB19p1_1_var01	LN713547	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadB19p1_2_var01	LN713548	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadB19p1_3_var01	LN713549	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadB19p1_4_var01	LN713550	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadB19p1_5_var01	LN713551	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch744_1_var03	LN713552	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch744_1_var06	LN713553	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch744_1_var09	LN713554	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch744_1_var12	LN713555	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch744_2_var01	LN713556	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch744_2_var02	LN713557	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch744_2_var03	LN713558	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch744_3_var01	LN713559	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch744_3_var02	LN713560	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch744_4_var01	LN713561	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch744_4_var02	LN713562	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch744_4_var03	LN713563	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch744_4_var04	LN713564	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch744_4_var05	LN713565	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch744_4_var06	LN713566	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch744_5_var01	LN713567	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch744_5_var02	LN713568	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch744_5_var03	LN713569	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch793_1_var01	LN713570	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
